"","organization"
"443","Sen. Al Franken's announcement Thursday that he will resign sets off a scramble toward a special election in 2018 to finish the Minnesota Democrat's term, with former governor and one-time presidential candidate Tim Pawlenty seen as a top possibil..."
"444","Here’s what you need to know at the end of the day."
"445","Asian shares hovered near two-month lows on Thursday as softer oil and copper prices and uncertainty over U.S. policy kept many investors on the sidelines, even as some high-tech bellwethers bounced back after a searing sell-off."
"446","Earlier this year, President Donald Trump ordered U.S. Interior Secretary Ryan Zinke to conduct an unprecedented review of 27 monuments established by former presidents over more than two decades on lands and waters revered for their natural beaut..."
"447","Congo has a long journey to recovery ahead of it, but with the right combination of business, social and political services there is now optimism for a country that once seemed to have lost any."
"448","Speaking to an audience that included the heads of Apple and Google, Wang Huning said China should be free to govern, and censor, its internet."
"449","U.S. Rep John Lewis announced Thursday that he won't speak at the opening of Mississippi civil rights and history museums, saying it's an ""insult"" that President Donald Trump will attend."
"450","The Center for Public Integrity and The Associated Press analyzed financial disclosure reports from 6,933 state legislators around the country and found that three out of four lawmakers had income from other employment."
"451","Today in History"
"452","Interior Secretary Ryan Zinke on Tuesday recommended President Donald Trump reduce the size and change the management of more national monuments in the western United States, and lashed out at critics of cuts already announced to protected areas i..."
"453","Today in History"
"454","Also: Why lie if you’ve done nothing wrong?"
"455","Health care for a thousand kids, or tax breaks for one wealthy heir? The G.O.P. prefers the second."
"456","Here’s what you need to know at the end of the day."
"457","President Trump has offered lavish praise when the intelligence community or law enforcement investigates his opponents but rebuked them when their actions do not align with his interests."
"458","The Latest on President Donald Trump's decision to shrink two national monuments in Utah (all times local):"
"459","In a story sent Dec. 2 and retransmitted Dec. 3 about the U.S. Army granting waivers to recruits who've used marijuana, The Associated Press erroneously reported that Maryland, rather than Nevada, is among the states that have legalized the sale o..."
"460","Businesses have long claimed the First Amendment should excuse them from complying with the law. The Supreme Court has always rejected that argument."
"461","U.S. Senate Republicans agreed to talks with the House of Representatives on sweeping tax legislation on Wednesday, amid early signs that lawmakers could bridge their differences and agree on a final bill ahead of a self-imposed Dec. 22 deadline...."
"462","Wealthy Russians facing the prospect of targeted U.S. sanctions next year have floated the idea of a special treasury bond to facilitate favourable terms for bringing their cash home, three sources familiar with the scheme said. "
"463","The special counsel investigation into possible coordination between President Donald Trump's campaign and Russia during the 2016 presidential election has cost more than $6.7 million so far, according to a financial report released Tuesday."
"464","Asian stocks slipped on Wednesday, dragged by losses on Wall Street as the technology sector stuttered yet again after a brief rebound, while the dollar sagged on lower long-term U.S. yields."
"465","Insistence on a 20 percent corporate tax rate is slowing negotiations for a final deal in the Senate."
"466","Readers respond."
"467",""
"468","U.S. stocks, the dollar and Treasury yields fell on Friday in a volatile session tied to developments in a probe into Russia's involvement in the U.S. election as well as by progress with a tax bill in Congress."
"469","The U.S. agency tasked with protecting the country from missile attacks is scouting the West Coast for places to deploy new anti-missile defences, two Congressmen said on Saturday, as North Korea's missile tests raise concerns about how the United..."
"470","A raft of Chinese data in coming weeks is expected to show the world's second-largest economy came under growing pressure in November as the government intensified crackdowns on polluting industries and financial risks."
"471","The U.S. agency tasked with protecting the country from missile attacks is scouting the West Coast for places to deploy new anti-missile defenses, two Congressmen said on Saturday, as North Korea's missile tests raise concerns about how the United..."
"472","A generation maligned as entitled whiners will be particularly hard hit by the Republicans’ wretched tax bill."
"473","Mr. Franks, who said he had asked two female staff members to be a surrogate to bear his child, was the third lawmaker to step down from office this week."
"474","A federal judge on Thursday asked Argentina's Senate to allow the arrest of former President Cristina Fernandez on a charge of treason for allegedly covering up the role of Iranians in a 1994 bomb attack on a Jewish center."
"475","President Donald Trump ordered U.S. Interior Secretary Ryan Zinke earlier this year to conduct an unprecedented review of 27 monuments established by former presidents over more than two decades on lands and waters revered for their natural beauty..."
"476","Three federal appeals court judges who blocked President Donald Trump's second travel ban earlier this year had some skeptical questions about his third and latest set of restrictions on travelers from six mostly Muslim nations during oral argumen..."
"477","All of the U.S. military's special operations fighters now being sent to war zones have freeze-dried blood plasma, a crucial addition to first-aid kits that can prevent badly wounded troops from bleeding to death on the battlefield."
"478","Clashes between rebel factions in the Yemeni capital Sanaa continued for a second day on Thursday, with Houthi troops moving against forces loyal to a former president and accusing them of fomenting a coup with the help of the United Arab Emirates..."
"479","The leaders of Germany’s largest parties met to sound out a possible renewed deal weeks after talks on an alternative arrangement fell apart."
"480","The Latest on The Associated Press Newsmaker interview with Sen. Tom Cotton, R-Ark. (all times local):"
"481","Former Gov. Phil Bredesen, the last Democrat to win a statewide election in Tennessee, touted his problem-fixing credentials on Thursday in announcing his bid to succeed Republican Bob Corker in the U.S. Senate."
"482","President Donald Trump changed his story Saturday on why he fired Michael Flynn as his national security adviser, now suggesting he knew at the time that Flynn had lied to the FBI as well as to Vice President Mike Pence about his contacts with Rus..."
"483","A U.S. tax overhaul will increase the government's need to issue more Treasuries as interest costs on the country's debt become a larger drain on the budget."
"484","The U.S. agency tasked with protecting the country from missile attacks is scouting the West Coast for places to deploy new anti-missile defences, two Congressmen said on Saturday, as North Korea's missile tests raise concerns about how the United..."
"485","Ending net neutrality and letting companies charge more, or block, certain services, will enrich them and strangle the web."
"486","Smoked pot? Want to go to war?"
"487","Former Yemeni president Ali Abdullah Saleh said on Saturday he was ready for a ""new page"" in ties with the Saudi-led coalition fighting in Yemen if it stopped attacks on his country, in a move that could pave the way to end nearly three years of w..."
"488","In which Republican donors pick your children’s pockets."
"489","The secretary of state, who may be forced out soon, presided over a historic gutting of the Foreign Service. But his replacement might be worse."
"490","Charles ""Chuck"" Johnson is not the kind of foot soldier in the army of lobbyists that House of Representatives Speaker Paul Ryan warned would descend on Washington to fight the biggest overhaul of the tax code since the 1980s."
"491","Mr. Kimmel lashed out at Mr. Moore, the Republican Senate candidate in Alabama accused of sexual misconduct, after the two tangled on Twitter."
"492","The president is acting more deranged than usual, but Republicans in Congress don’t care."
"493","U.S. Secretary of State Rex Tillerson's expected exit from the  Trump administration is one of many staff changes likely as President Donald Trump nears the end of his first year in office, with sources saying top economic adviser Gary Cohn and  s..."
"494","Charles ""Chuck"" Johnson is not the kind of foot soldier in the army of lobbyists that House of Representatives Speaker Paul Ryan warned would descend on Washington to fight the biggest overhaul of the tax code since the 1980s."
"495","Wall Street took investors on a turbulent ride Friday as stock indexes veered into a steep slide that knocked 350 points off the Dow Jones industrial average before the market eventually clawed back most of its losses."
"496","Melinda and Joel Loshak raised two children in a stylish ranch house in Houston's upscale Meyerland neighborhood and planned to retire there. Now they are hoping the government will knock it down."
"497","U.S. Secretary of State Rex Tillerson's expected exit from the  Trump administration is one of many staff changes likely as President Donald Trump nears the end of his first year in office, with sources saying top economic adviser Gary Cohn and  s..."
"498","The leader of Germany's Social Democrats (SPD) said on Friday he ruled out no option for forming a new government but stressed that a re-run of the outgoing ""grand coalition"" with Chancellor Angela Merkel's conservatives was not a done deal."
"499","In “American Wolf,” Nate Blakeslee chronicles the survival of O-Six and her home’s complex ecosystem."
"500","It's lining up to be another strong year for investors who own homebuilding stocks."
"501","It’s a classic tactic of autocrats."
"502","The Latest on Sen. Al Franken and sexual misconduct allegations (all times local):"
"503","The investigative arm of the U.S. Congress is launching a probe into the safety of increasingly long freight trains being operated by CSX Corp, Union Pacific Corp and other major U.S. railroads to boost profitability, the U.S. Government Accountab..."
"504","The revolving door at the Trump White House was ready to spin again as senior administration officials said on Thursday there is a plan to replace U.S. Secretary of State Rex Tillerson with Central Intelligence Agency chief Mike Pompeo within week..."
"505","Income and gender make a big difference in who winds up inventing."
"506","U.S consumer confidence surged to a near 17-year high in November, driven by a robust labour market, while house prices rose sharply in September, which should underpin consumer spending and boost economic growth."
"507","After 11 weeks in detention, the unnamed suspect still has not appeared before a judge. The courts must move faster."
"508","Bad faith touches every aspect of the G.O.P.’s sales pitch to ram a bill through."
"509","Jerome Powell, President Donald Trump's choice to lead the U.S. Federal Reserve, defended plans to potentially lighten regulation of the financial sector during a controversy-free hearing on his nomination to take over the central bank. "
"510","Imagining a new global identity where the term “minority” is an anachronism."
"511","Garrison Keillor, whose stories of small-town characters entertained legions of public radio listeners for 40 years on ""A Prairie Home Companion,"" became another celebrity felled by allegations of workplace misconduct on Wednesday when Minnesota P..."
"512","New taxes are not the answer. A radical reorientation of their mission is."
"513","The U.S. economy has gathered steam this year and will warrant continued interest rate increases amid a strengthened global recovery, outgoing Federal Reserve Chair Janet Yellen told Congressional leaders on Wednesday in her final scheduled testim..."
"514","The U.S. agency tasked with protecting the country from missile attacks is scouting the West Coast for places to deploy new anti-missile defenses, two Congressmen said on Saturday, as North Korea's missile tests raise concerns about how the United..."
"515","The result of Honduras' presidential election remained in limbo on Tuesday, with a gregarious TV host's surprise lead narrowing sharply, prompting him to call on supporters to take to the streets of the capital to defend the vote."
"516","Trenton Charlson gets playful."
"517","The top Democrat in the House on Thursday called on Michigan Rep. John Conyers to resign in the face of multiple accusations of sexual misconduct. Conyers' lawyer swiftly rejected the request, saying Nancy Pelosi ""sure as hell won't be the one to ..."
"518","President Donald Trump is considering a plan to oust Secretary of State Rex Tillerson, whose relationship has been strained by the top U.S. diplomat's softer line on North Korea and other differences, senior administration officials said on Thursd..."
"519","United States officials weigh in on a dispute that could shape global trading — and the willingness of the United States to remain in the W.T.O."
"520","Speaking at the scene of the one of the climactic confrontations of the civil rights movement, Alabama Democrat Doug Jones on Saturday again made his pitch that Alabama's black and white voters have unified concerns that he can best represent."
"521","Cases decided decades ago have set an absurdly high bar for workers bringing sexual harassment lawsuits."
"522","This is no way to handle a complex piece of legislation, and the Republicans must know it."
"523","Taxing free tuition would harm all graduate students, but it would be devastating for students of color."
"524","The U.S. Senate on Wednesday took a step toward passage of tax legislation that is a top White House priority, setting up a likely decisive vote later this week even though it was unclear if the bill had enough Republican support to become law.Rep..."
"525","The Nasdaq posted its biggest one-day drop in more than three months on Wednesday as investors fled high-flying technology  stocks and shifted to banks and other pockets of the market that could benefit from improving economic conditions, lower re..."
"526","It’s planning to end net neutrality while opposing the Time Warner and AT&T merger. This doesn’t make sense."
"527","Honduras faced a growing election crisis on Wednesday, with its U.S.-friendly president edging ahead in troubled vote count that his centrist rival, a television game show host allied with leftists, has rejected, saying he is being robbed."
"528","Rep. Blake Farenthold, Republican of Texas, settled a sexual harassment suit for $84,000, one of six House settlements funded by taxpayers since 2013."
"529","Conservative groups and lawmakers are lining up against a proposal by Senate Republicans to impose automatic tax increases on millions of Americans &#8212; if their sweeping tax package doesn't grow the economy and raise tax revenues as much as pr..."
"530","Facing a critical Senate vote on his tax overhaul and a crush of December deadlines, President Donald Trump is instead putting the spotlight on a volatile collection of extraneous topics &#8212; anti-Muslim videos, Pocahontas, NFL players who knee..."
"531","The Defense Intelligence Agency is refusing to release a wide array of documents related to former National Security Adviser Michael Flynn, saying that turning them over could interfere with ongoing congressional and federal investigations."
"532","Corruption should be prosecuted. But malleable criminal laws are being used to go after political rivals, and that is dangerous to democracy."
"533","The U.S. economy grew faster than initially thought in the third quarter, notching its quickest pace in three years, buoyed by robust business spending on equipment and an accumulation of inventories."
"534","A law Congress passed to keep itself from spending too much could have consequences for many federal programs."
"535",""
"536","Germany's Social Democrat (SPD) Foreign Minister said on Thursday that his party would not be quick to agree to another grand coalition with Chancellor Angela Merkel's conservatives, as party leaders met with the president in a bid to end politica..."
"537","Jerome Powell, President Donald Trump's pick to be chairman of the Federal Reserve, told senators at his confirmation hearing Tuesday that he believes some bank regulations can be rolled back &#8212; something the administration and Wall Street fa..."
"538","Have you been paying attention to the headlines this week? Take our 10-question quiz and see."
"539","The U.S. economy grew faster than initially thought in the third quarter, notching its quickest pace in three years, buoyed by robust business spending on equipment and an accumulation of inventories."
"540","Today in History"
"541","Mr. Noah said that President Trump might be less likely to support a bill that benefits the rich if he were reminded that former President Barack Obama is among them."
"542","There is ample evidence the president is not working for America first."
"543","Venezuelan state security forces systematically abused opposition protesters detained during months of deadly political unrest earlier this year, Human Rights Watch charged Wednesday."
"544","The Democratic senator of Minnesota announced his plans to resign, a day after a sixth woman accused him of misconduct and dozens of his colleagues called for him to step down."
"545","The election of President Trump, the Women’s March and a flood of sexual assault charges against powerful men have combined to build a wave of political activism among women."
"546","As Republicans in Washington tout a tax plan, Ohio residents are trying to understand how it affects them. For many, well-paying jobs remain the issue."
"547","Signs are being placed across the U.S. to commemorate where those sold into slavery first arrived. Some see it as a counterpoint to Confederate monuments."
"548","The Senate voted along party lines, 52-48, to begin debate on the tax plan, turning the spotlight to debate and amendments."
"549","We modeled taxes for 25,000 middle-class families. Here’s how the Senate bill would affect each of them."
"550","Here’s what you need to know to start your day."
"551","The potential hammer at the heart of the Michael Flynn plea."
"552","Days before masked agents arrested him, family and friends pleaded with Eulogio Del Pino to flee, warning that he could be next among executives detained or pursued, one after another, in a mounting purge of Venezuela's faltering oil industry."
"553","President Donald Trump's rare move to shrink two large national monuments in Utah triggered another round of outrage among Native American leaders who vowed to take the fight to court to preserve protections for land they consider sacred."
"554","Felicita Villagran Villeda and her 15-year-old son sat on a dirt road next to the Rio Grande passing a plastic water jug back and forth, trying to catch their breath as the Texas sun bore down on them overhead. Border Patrol agents in green unifor..."
"555","High-earning taxpayers cannot afford to wait and see what happens with the tax overhaul; they need to act this month before certain opportunities go away."
"556","Yemen's steely former president of 33 years, Ali Abdullah Saleh, made his last political gamble and lost on Monday, meeting his death at the hands of the Houthi movement, his erstwhile allies in the country's multi-sided civil war."
"557","The senator of Minnesota said he will resign after several of his colleagues called for him to step down over allegations of sexual misconduct."
"558","Sen. Al Franken, a rising political star only weeks ago, reluctantly announced Thursday he's resigning from Congress, succumbing to a torrent of sexual harassment allegations and evaporating support from fellow Democrats. But he fired a defiant pa..."
"559","Chinese officials reiterated a welcoming message to corporate leaders at a conference on Wednesday, but the reality on the ground is more complex."
"560","Dream crushers, how to break a sexual harassment story and more on the scandals roiling our society."
"561","Coexistence and union are the best options to articulate a common project for the future of Spain."
"562","The Latest on Sen. Al Franken, D-Minn., and the allegations of sexual misconduct against him (all times local):"
"563","We tackle three reader questions in our weekly climate newsletter. "
"564","Women who say they were sexually harassed or mistreated by powerful men in television news have banded together to form a support network aimed at changing a newsroom culture they say has given men a free pass to misbehave for decades."
"565","Here’s what you need to know to start your day."
"566","Amid a deepening electoral crisis in Honduras, the administration of President Donald Trump on Thursday certified the country's progress in protecting human rights and attacking corruption."
"567","A recent change in Iowa's tax code spared Mark Chelgren's machine shop, welding company and wheelchair-parts plant from paying sales tax when buying certain supplies such as saws and cutting fluid."
"568","The nation's homeless population increased this year for the first time since 2010, driven by a surge in the number of people living on the streets in Los Angeles and other West Coast cities."
"569","The Consumer Financial Protection Bureau’s new acting director has suspended or softened several investigations and lawsuits. Some employees are quietly resisting."
"570","In the 1990s, they were premature. This time, they might have arrived too late."
"571","The tax bills moving through Congress could hobble the United States’ renewable energy industry because of provisions that scale back incentives for wind and solar power."
"572","Fewer than 800 votes separated the candidates Keisha Lance Bottoms, who declared victory, and Mary Norwood, who said she would request a recount."
"573",""
"574","Here’s what you need to know to start your day."
"575","Some parents welcomed Messenger Kids, the tech giant’s first major foray into connecting children under 13 to its services, but others worried about social media’s deeper intrusion."
"576","The latest on the conflict in Yemen (all times local):"
"577","The legislation hurtling through Congress seems almost tailor-made to benefit the president, despite his claims that the bills are “not good for me.”"
"578","The deal would combine CVS’s pharmacy and clinic business with a giant insurance company. The combination could lead to lower prices — or fewer choices — for consumers."
"579","Christopher A. Wray, the F.B.I. director, did not mention the president in defending the agency’s work force as “focused on our critical mission.”"
"580","Here’s what you need to know to start your day."
"581","Life may be about to get easier for people with rich parents. They can thank the Republicans' tax plans."
"582","Here’s what you need to know to start your day."
"583","As marijuana legalization and the opioid epidemic sweep across the country, new research is breathing fresh life into the perennial debate."
"584","Populist firebrand Steve Bannon savaged national Republican leaders Tuesday night in a fiery call to rally voters behind embattled Senate candidate Roy Moore as the battle for the GOP's soul spilled into a dirt-floor barn deep in rural Alabama."
"585","It was the opening day of deer hunting season, and Ronald Hansen says he loaded his rifle the same way he had countless times before, aimed at a target and fired a shot."
"586","Igniting fears of violence in the region, President Trump’s decision could derail any peace initiative, Arab and European leaders warn."
"587","Here’s what you need to know to start your day."
"588","“To get out or get a reduced sentence, you need to admit to crimes you haven’t committed,” the prosecution witness in an Iran sanctions case said."
"589","Religious leaders hope protests and civil disobedience can force the issue of poverty back onto the national agenda at a time when attention is focused mainly on the middle class."
"590","The tax bills in final talks would allow tax-favored savings for private school tuition, but by curtailing state and local tax deductions, they could hit public schools."
"591","Yemen's steely former president of 33 years, Ali Abdullah Saleh, made his last political gamble and lost on Monday, meeting his death at the hands of the Houthi movement, his erstwhile allies in the country's multi-sided civil war."
"592","The death of the former president, Ali Abdullah Saleh, could plunge war-torn Yemen into new chaos."
"593","Veteran former president Ali Abdullah Saleh was killed in a roadside attack on Monday after switching sides in Yemen's civil war, abandoning his Iran-aligned Houthi allies in favor of a Saudi-led coalition, foes and supporters said."
"594","The same forces that rocketed the House and Senate tax measures to passage appear likely to bond Republicans as they work to hash out the differences."
"595","Here’s what you need to know to start your day."
"596","Snipers took over rooftops in residential areas, tanks deployed and militiamen set up checkpoints Sunday across the Yemeni capital, where fighting forced families to hunker down indoors in anticipation of more violence."
"597","In a legal case with profound implications for LGBT rights and religion's place in public life, the opposing sides agree on this: It's not about the cake."
"598","The U.S. Senate narrowly approved a tax overhaul on Saturday, moving Republicans and President Donald Trump a big step closer to their goal of slashing taxes for businesses and the rich while offering everyday Americans a mixed bag of changes."
"599","The Supreme Court will hear why the Masterpiece Cakeshop case is fundamentally about public accommodation, not free speech."
"600","The Senate is poised to pass its tax bill but it still needs to be reconciled with the House-passed legislation, which differs in some significant ways from the Senate plan."
"601","Advisers say many investors struggle to separate President Trump’s harsh political language from the strong fundamentals of American companies."
"602","The issue of how museums raise their money has resurfaced in the case of the Sacklers, a family of philanthropists whose company developed OxyContin."
"603","Details of alleged sexual assaults by Hollywood mogul Harvey Weinstein, comedian Bill Cosby and other famous figures are now widely known in part because several accusers did something they promised in writing never to do: They talked publicly abo..."
"604","Republicans took a significant step forward on Tuesday when a key panel passed the $1.5 trillion tax cut, clearing the way for a full Senate vote later in the week."
"605","A proposal driven by President Donald Trump to overhaul the country's tax system is moving through U.S. Congress, lifting the overall stock market and raising hopes that corporate earnings will get a boost."
"606","As the eldest son among 15 children, Senegalese tailor Saliou Ndiaye was his family's greatest hope for a better life in a city rife with unemployment where many still travel by horse-drawn cart."
"607","Some high-profile Democrats are flying into Alabama this weekend to encourage people to send Doug Jones to the Senate."
"608","Journalists who broke two of the biggest sexual harassment cases of the past year were joined by the actress Ashley Judd to discuss their reporting."
"609","Our new gender editor offers insights and updates on the sexual misconduct scandals roiling our society."
"610","Gov. Jerry Brown thinks Democrats know best. Also in this newsletter: Activists fear Arctic drilling is a Trojan horse."
"611","One of the first to convey corporate identity by means of abstraction, Mr. Chermayeff created logos for Showtime, the Smithsonian, Pan Am and more."
"612","The F.B.I. director faced sharp questioning over an internal report that some have said called to mind the F.B.I.’s illegal spying on blacks during the civil rights movement."
"613","I know I want to be sterilized. Why is it such a fight?"
"614","Venezuelan authorities on Thursday arrested two once-powerful officials who had run the oil ministry and state energy company PDVSA as part of a deepening industry purge also seen as a power play by leftist President Nicolas Maduro."
"615","Doug Jones, the Democratic nominee running against Roy S. Moore in Alabama, has leaned on a network of fellow prosecutors and civil rights lawyers for help."
"616","After months of clashes on policy and personality, President Donald Trump is considering ousting Secretary of State Rex Tillerson and replacing him with hard-nosed CIA Director Mike Pompeo following less than a year on the job, senior U.S. officia..."
"617","Here’s what you need to know to start your day."
"618","The latest landmark — Dow 24,000 — reflects optimism about rising profits and lower taxes, and a seeming imperviousness to unsettling news."
"619","Myanmar’s civilian leader is turning to China for diplomatic and economic help as the Rohingya crisis frays relations with the United States."
"620","Much has changed since Syria's warring sides met for the last round of U.N.-brokered talks in Geneva last summer."
"621","The F.C.C. plan to scrap existing rules for internet delivery has set off heated debate, personal attacks and echoes of the 2016 election."
"622","Tuesday: Transgender surgery at Cedars-Sinai, an assemblyman accused of sexual harassment resigns and the rebel state of Jefferson."
"623","Wednesday: Tax rise for grad students, San Francisco street taken back, Bitcoin mania and Chip Kelly."
"624","With Roy Moore's Republican U.S. Senate candidacy threatened by sexual misconduct claims, one of his closest aides recently stepped up to a microphone outside the state Capitol and jabbed at the air. Declaring that God has picked Alabama voters to..."
"625","How the tax plan’s defenders are selling it."
"626","U.S. Republicans made progress on Tuesday in addressing the demands of some key senators in the party about their tax legislation, improving the outlook for the bill's passage."
"627","Playing all sides in the Alabama Senate race, President Donald Trump has made it known he won't set foot in the state on behalf of embattled Republican Roy Moore, even as he intensified his insistence that voters must never elect Moore's Democrati..."
"628","The Supreme Court heard arguments on whether the police need a warrant for cellphone location data in a case that could reshape privacy protections."
"629","President Trump hoped to devote proceeds from repealing a health care mandate to helping the rich. Then came Ivanka Trump and Republican senators with other ideas."
"630","Two decades ago, big companies wagered that they could save billions by shifting profits overseas. Under Republican tax plans, those bets would pay off."
"631","After sinking his party’s hopes of repealing the Affordable Care Act earlier this year, the Republican from Arizona may hold the fate of a tax overhaul in his hands."
"632","Blue Apron co-founder Matt Salzberg is stepping down as chief executive and being replaced with Chief Financial Officer Brad Dickerson."
"633","President Donald Trump's rally in Missouri this past week was a set-piece of distortion about taxes and the economy. He compounded his growing legacy of false tales on Twitter, where he spread a British fringe group's factually twisted propaganda ..."
"634","A recent change in Iowa's tax code spared Mark Chelgren's machine shop, welding company and wheelchair-parts plant from paying sales tax when buying certain supplies such as saws and cutting fluid."
"635","The president’s behavior has got people wondering."
"636","President Donald Trump's recent rally in Missouri was a set-piece of distortion about taxes and the economy. He compounded his growing legacy of false tales on Twitter, where he spread a British fringe group's factually twisted propaganda aimed at..."
"637","The president seemed to relish playing a familiar role: the political insurgent, defying foreign policy orthodoxy on behalf of the people who elected him."
"638","President Trump’s impulsive, improvisational political style is preventing the Republican Party from establishing a true organization for the coming midterm elections."
"639","Even in a whirlwind presidency, it was a dizzying span of hours: One of the president’s closest former aides pleaded guilty, shortly before the Senate voted to cut taxes."
"640","The Democratic nominee, Doug Jones, is widely admired. But in his race against Roy Moore, many voters say they are struggling to get past his party affiliation."
"641","The president has called claims of unusual contacts with Russia a “hoax.” But emails show top aides closely tracked Michael T. Flynn’s fateful call to the Russian ambassador."
"642","Members of the nation’s new system against graft, inaugurated by the president after several scandals, say they are routinely thwarted by the government."
"643","Forget Russia for a minute and look where Trump is taking us."
"644","The Latest on the investigations into Trump campaign associates and Russian election interference (all times local):"
"645","The Latest on a possible U.S. decision to recognize Jerusalem as Israel's capital (all times local):"
"646","An army of firms helped put together the year’s biggest announced merger, with at least $120 million in potential fees to go around for the banks alone."
"647","Drawing support from moderate to liberal Republicans and liberal Democrats, Mr. Anderson held the spotlight for a while before voters turned to candidates who they believed could actually win."
"648","Wall Street’s volatility index has jumped on news that Michael Flynn has pleaded guilty and is cooperating with Robert Mueller’s investigation."
"649","In this lesson, students search for a “workable standard” using math to determine when gerrymandering might be unconstitutional."
"650","On an icy December day in 2011, North Korea's new leader Kim Jong Un was accompanied by seven advisers as they escorted the hearse that carried his father, Kim Jong Il, through the streets of Pyongyang."
"651","The remarkable tale of a 3-year-old whose parents died in Auschwitz, and the soldier who worked to get her out of occupied Berlin."
"652","Two senators have argued that big corporations are being given preferential treatment compared with pass-throughs. The problem that is wrong."
"653","When Zhu Chenxia bought a flat early last year from Lei Yarong in the up-market Nanshan district of China's southern metropolis of Shenzhen, the two women drew up three purchase agreements to cover the deal."
"654","Inside the fight over federal rules on campus sexual assault."
"655","AT&T has responded to the government’s lawsuit seeking to block its bid for Time Warner, and the company’s main argument is that it’s not as big as it looks."
"656","Corporal Matthew Stice pointed his Taser at Martini Smith&#8217;s bare chest."
"657","The Fox News host is willing to defend Trump at all costs — and is reaching more than 13 million people a day."
